time	low	high	open	close	volume
1498161600	312.81	321.08	320.88	313.03	38463.93
1498165200	312.74	316.81	313.03	315.39	26098.76
1498168800	314.37	318.95	315.39	318.7	19888.78
1498172400	318.68	322.58	318.7	320.97	17699.44
1498176000	319.85	322.31	320.97	320.46	10988.1
1498179600	319.62	321.45	320.46	321.43	6241.75
1498183200	321.35	323.54	321.43	323.41	10755.74
1498186800	322.97	324.32	323.41	323.49	11828.13
1498190400	322.52	325.26	323.49	325.11	11182.57
1498194000	324.47	326.29	325.11	325.06	10172.53
1498197600	324.56	327.95	325.06	327.69	11255.85
1498201200	326.83	328.1	327.69	327.92	9282.81
1498204800	327.63	331.28	327.92	330.34	21888.89
1498208400	329.42	331.29	330.34	330.04	10316.0
1498212000	329.15	330.93	330.04	330.74	7655.51
1498215600	329.13	331.53	330.74	329.31	8665.02
1498219200	326.37	329.61	329.31	327.55	10179.39
1498222800	327.51	329.83	327.55	329.08	8003.72
1498226400	327.22	329.23	329.08	328.31	7206.56
1498230000	325.18	328.58	328.31	326.06	9822.15
1498233600	325.05	326.76	326.06	325.58	11123.25
1498237200	323.68	325.96	325.58	323.99	11678.09
1498240800	323.11	324.54	323.99	323.98	10229.66
1498244400	323.14	324.81	323.98	324.65	8143.22
1498248000	324.56	326.68	324.65	325.89	11415.31
1498251600	325.37	327.07	325.89	326.97	8423.27
1498255200	326.64	327.4	326.97	326.84	6712.06
1498258800	325.05	327.18	326.84	326.85	7928.98
1498262400	326.44	328.09	326.85	327.95	4622.51
1498266000	327.84	330.28	327.95	329.13	13955.13
1498269600	327.37	329.32	329.13	327.75	5194.05
1498273200	327.61	329.25	327.75	328.7	4010.27
1498276800	326.54	328.92	328.7	328.11	5677.68
1498280400	326.02	328.79	328.11	326.31	6197.73
1498284000	326.07	328.25	326.31	328.21	5115.59
1498287600	327.13	328.82	328.21	327.3	9173.29
1498291200	326.86	327.9	327.3	327.42	3031.31
1498294800	325.95	327.62	327.42	326.49	3836.16
1498298400	325.36	327.29	326.49	326.31	5618.64
1498302000	325.46	327.28	326.31	325.6	5189.07
1498305600	325.29	326.24	325.6	325.29	7097.65
1498309200	313.52	325.3	325.29	313.55	38854.74
1498312800	313.28	323.7	313.55	315.54	39589.36
1498316400	314.79	318.64	315.54	318.56	13778.51
1498320000	315.3	319.17	318.56	315.64	12182.44
